,n_items,n_questions,n_dims,l2_reg,beta,max_iter,train_err,train_n,train_err_norm,test_err,test_n,test_err_norm,run
195,100,500,4,0.05,0.1,6000,560.6623348768851,400,1.4016558371922128,800.8713324534683,100,8.008713324534684,0
196,100,500,4,0.05,0.1,6000,492.99233436297294,400,1.2324808359074324,798.8025173311602,100,7.988025173311602,1
197,100,500,4,0.05,0.1,6000,486.5745181313192,400,1.2164362953282981,767.4670194066609,100,7.67467019406661,2
198,100,500,4,0.05,0.1,6000,498.97709215959014,400,1.2474427303989755,961.6921050684505,100,9.616921050684505,3
199,100,500,4,0.05,0.1,6000,534.4751250531377,400,1.3361878126328444,806.7342060540125,100,8.067342060540124,4
200,100,500,4,0.1,1.0,6000,947.9590933265638,400,2.3698977333164093,468.5483872445072,100,4.685483872445072,0
201,100,500,4,0.1,1.0,6000,973.9106174060848,400,2.434776543515212,365.4397556463871,100,3.654397556463871,1
202,100,500,4,0.1,1.0,6000,942.7421647507119,400,2.3568554118767797,432.4700427353704,100,4.3247004273537035,2
203,100,500,4,0.1,1.0,6000,979.0162711988125,400,2.4475406779970315,359.60204926995846,100,3.5960204926995845,3
204,100,500,4,0.1,1.0,6000,925.9465305142147,400,2.3148663262855367,433.96188050587494,100,4.339618805058749,4
205,100,500,4,0.1,0.8,6000,839.8118282172729,400,2.0995295705431825,488.1105520524234,100,4.881105520524233,0
206,100,500,4,0.1,0.8,6000,856.911872174541,400,2.1422796804363524,415.01778121707946,100,4.150177812170795,1
207,100,500,4,0.1,0.8,6000,803.7944003988484,400,2.009486000997121,729.5367509524574,100,7.295367509524574,2
208,100,500,4,0.1,0.8,6000,838.1601488429308,400,2.095400372107327,444.68489087591587,100,4.446848908759159,3
209,100,500,4,0.1,0.8,6000,857.3427290750165,400,2.143356822687541,469.2934871171244,100,4.692934871171244,4
210,100,500,4,0.1,0.5,6000,703.311296712674,400,1.758278241781685,666.7396318662197,100,6.667396318662197,0
211,100,500,4,0.1,0.5,6000,667.787401878205,400,1.6694685046955124,412.2305355901162,100,4.122305355901162,1
212,100,500,4,0.1,0.5,6000,672.8216123374256,400,1.6820540308435639,607.2089756475704,100,6.0720897564757035,2
213,100,500,4,0.1,0.5,6000,667.6481674726396,400,1.6691204186815989,474.4304346997703,100,4.744304346997703,3
214,100,500,4,0.1,0.5,6000,676.1275481309787,400,1.6903188703274465,572.3031890782216,100,5.723031890782217,4
215,100,500,4,0.1,0.1,6000,607.2715987563389,400,1.5181789968908472,635.8177962024013,100,6.358177962024013,0
216,100,500,4,0.1,0.1,6000,632.4818079294423,400,1.5812045198236058,652.1357985264374,100,6.521357985264374,1
217,100,500,4,0.1,0.1,6000,559.9445827244322,400,1.3998614568110803,819.6252399470986,100,8.196252399470985,2
218,100,500,4,0.1,0.1,6000,603.3475157789937,400,1.5083687894474844,531.5412462462762,100,5.315412462462762,3
219,100,500,4,0.1,0.1,6000,603.127742611991,400,1.5078193565299776,699.8722112560977,100,6.998722112560976,4
220,100,500,4,0.2,1.0,6000,1207.8143969185828,400,3.019535992296457,491.3622073819458,100,4.913622073819457,0
221,100,500,4,0.2,1.0,6000,1160.7233235316583,400,2.9018083088291458,503.59656227411216,100,5.035965622741122,1
