,n_items,n_questions,n_dims_model,train_err,train_n,train_err_norm,test_err,test_n,test_err_norm,n_dims_gt,run
354,50,200,21,5.835869873849443,160,0.03647418671155902,88923.91533480698,40,2223.0978833701747,10,4
355,50,200,21,6.304190078867503,160,0.039401187992921895,109635.44597547184,40,2740.886149386796,10,5
356,50,200,21,6.629901212438174,160,0.04143688257773859,98273.95540230414,40,2456.8488850576036,10,6
357,50,200,21,5.4766083095077995,160,0.03422880193442375,115896.7282235836,40,2897.41820558959,10,7
358,50,200,21,10.811408865254986,160,0.06757130540784366,1473695.1414991675,40,36842.37853747919,10,8
359,50,200,21,12.70430146315622,160,0.07940188414472638,91012.42945423882,40,2275.3107363559707,10,9
360,75,100,2,312.75312512148133,80,3.9094140640185167,5096.833880160781,20,254.84169400803904,10,0
361,75,100,2,243.263162261825,80,3.0407895282728123,4598.747414107536,20,229.93737070537682,10,1
362,75,100,2,307.7277549118632,80,3.84659693639829,7186.050744976151,20,359.30253724880754,10,2
363,75,100,2,370.6193436487706,80,4.632741795609633,5517.265678237038,20,275.8632839118519,10,3
364,75,100,2,266.5522455718433,80,3.331903069648041,8224.36694961668,20,411.21834748083404,10,4
365,75,100,2,217.0224669157536,80,2.71278083644692,4041.447910151699,20,202.07239550758496,10,5
366,75,100,2,364.6908079860957,80,4.558635099826196,3474.185414242399,20,173.70927071211995,10,6
367,75,100,2,281.8904139112629,80,3.523630173890786,5219.188228661214,20,260.9594114330607,10,7
368,75,100,2,347.2962797630873,80,4.341203497038591,4267.548179368422,20,213.3774089684211,10,8
369,75,100,2,293.8392123357808,80,3.6729901541972603,1466.5412656006754,20,73.32706328003377,10,9
370,75,100,3,52.76736351601617,80,0.6595920439502021,6744.928525531624,20,337.2464262765812,10,0
371,75,100,3,70.70956105941967,80,0.8838695132427459,5453.410280256314,20,272.6705140128157,10,1
372,75,100,3,54.74463556394957,80,0.6843079445493696,3526.602478466536,20,176.3301239233268,10,2
373,75,100,3,37.59710822668585,80,0.4699638528335731,15304.748151453208,20,765.2374075726605,10,3
374,75,100,3,48.87048414692023,80,0.6108810518365029,11146.857520667825,20,557.3428760333912,10,4
375,75,100,3,35.52650915552971,80,0.4440813644441214,5495.55067780223,20,274.7775338901115,10,5
376,75,100,3,44.01085177110782,80,0.5501356471388478,4637.439790026222,20,231.8719895013111,10,6
377,75,100,3,37.00534509896496,80,0.462566813737062,9914.483259492543,20,495.7241629746271,10,7
378,75,100,3,56.26569922534223,80,0.7033212403167779,8823.069375219962,20,441.1534687609981,10,8
379,75,100,3,44.463940327991466,80,0.5557992540998933,8698.565113574568,20,434.9282556787284,10,9
380,75,100,5,4.758040317246823,80,0.059475503965585284,32096.290773443932,20,1604.8145386721967,10,0
381,75,100,5,2.6309606554717506,80,0.032887008193396884,128182.39505805509,20,6409.119752902754,10,1
382,75,100,5,7.815974543193848,80,0.0976996817899231,13594.209229684,20,679.7104614842,10,2
383,75,100,5,2.6602714864260317,80,0.0332533935803254,,20,,10,3
384,75,100,5,4.577440795117142,80,0.057218009938964275,5735.277029871743,20,286.76385149358714,10,4
385,75,100,5,3.158201961908916,80,0.039477524523861454,18479.610023109806,20,923.9805011554903,10,5
386,75,100,5,2.553387642494229,80,0.03191734553117786,4635.557744308905,20,231.77788721544525,10,6
387,75,100,5,3.054404439297889,80,0.038180055491223615,19423.17103476533,20,971.1585517382666,10,7
388,75,100,5,3.2402504042729774,80,0.04050313005341222,9137.639168180172,20,456.88195840900863,10,8
389,75,100,5,4.793081359097142,80,0.05991351698871428,5209.798743643864,20,260.4899371821932,10,9
390,75,100,8,1.460282534548756,80,0.01825353168185945,11659.673885022139,20,582.983694251107,10,0
391,75,100,8,2.1427047658359504,80,0.02678380957294938,17271.045746844597,20,863.5522873422299,10,1
392,75,100,8,0.31808559876089676,80,0.003976069984511209,37380.77814687504,20,1869.038907343752,10,2
393,75,100,8,0.5454383631027767,80,0.006817979538784709,8033.792222517034,20,401.6896111258517,10,3
394,75,100,8,2.5706358103112814,80,0.03213294762889102,10603.485198465874,20,530.1742599232937,10,4
395,75,100,8,1.1705191191340163,80,0.014631488989175203,16018.9432809428,20,800.94716404714,10,5
396,75,100,8,1.4916507913720165,80,0.018645634892150206,7952.508614150605,20,397.62543070753026,10,6
397,75,100,8,1.2088389938912003,80,0.015110487423640004,45107.242462090944,20,2255.362123104547,10,7
398,75,100,8,0.9331474402400507,80,0.011664343003000633,43230.62164734737,20,2161.5310823673685,10,8
399,75,100,8,2.106360221436531,80,0.026329502767956637,62819.279405046975,20,3140.9639702523486,10,9
400,75,100,13,1.2079975937690286,80,0.015099969922112858,26625.340066919838,20,1331.267003345992,10,0
401,75,100,13,1.0563597093282484,80,0.013204496366603105,296610.5030325803,20,14830.525151629015,10,1
402,75,100,13,0.7743641912032808,80,0.009679552390041011,122244.35536096862,20,6112.217768048431,10,2
403,75,100,13,0.5313438212600032,80,0.00664179776575004,220675.1569418159,20,11033.757847090794,10,3
404,75,100,13,0.6681886944735695,80,0.00835235868091962,809863.4256651078,20,40493.17128325539,10,4
405,75,100,13,1.6463427609453953,80,0.020579284511817442,45724.231814725645,20,2286.2115907362822,10,5
406,75,100,13,1.0688340141993686,80,0.013360425177492108,1169954.039854706,20,58497.7019927353,10,6
407,75,100,13,0.6135337734189029,80,0.007669172167736287,495382.1140870989,20,24769.105704354944,10,7
408,75,100,13,0.7172224581740287,80,0.008965280727175359,81050.4468499424,20,4052.52234249712,10,8
409,75,100,13,1.752191784024372,80,0.02190239730030465,62399.878001426834,20,3119.9939000713416,10,9
410,75,100,21,0.6133271419103551,80,0.007666589273879439,28547095.017024804,20,1427354.7508512402,10,0
